image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1f0e23ad311872d4404694ac88,https://open.spotify.com/show/6rPGDHPrELnLYKXToRctX6,The PetaPixel Podcast,PetaPixel
https://i.scdn.co/image/ab67656300005f1fa2c6efddeac5d1952235e23d,https://open.spotify.com/show/6G1NTE25L7dTxNhEs6Zhgj,Mrwhosetheboss,Mrwhosetheboss
https://i.scdn.co/image/ab67656300005f1f92a85466833683b279235c83,https://open.spotify.com/show/5qXpbWBv2YXjSLF8n0cCZp,Violating Community Guidelines with Brittany Broski and Sarah Schauer,Brittany Broski & Sarah Schauer & Studio71
https://i.scdn.co/image/ab67656300005f1f93fbad352e00a6871fe26715,https://open.spotify.com/show/6R8MqurDMVIQp5m2k4xajR,The Snow Plow Show Prank Call Podcast,RedBoxChiliPepper
https://i.scdn.co/image/ab67656300005f1fb958ded949dce5e73183daa4,https://open.spotify.com/show/54IyOSRiw5eEXkr0Mt7gtZ,The Fine Homebuilding Podcast,Fine Homebuilding Magazine
https://i.scdn.co/image/ab67656300005f1fa5bd834eb036f54d40fbc492,https://open.spotify.com/show/0XS60Ft2IW9EY2VR7Frnyi,FroKnowsPhoto Photography Podcasts,Jared Polin
https://i.scdn.co/image/ab67656300005f1f424f56d359de4256a9a3459f,https://open.spotify.com/show/6iNuAhJVJHX3adsMRQcySp,The I.T. Career Podcast,The Bearded I.T. Dad - Dakota Snow
https://i.scdn.co/image/ab67656300005f1fa286d0d1985dad893819a829,https://open.spotify.com/show/7liBeLuSIUIguYhsIQTD2G,Hot Girls,asmdedtx
https://i.scdn.co/image/ab67656300005f1f6df3c23de751c700bf7b9da4,https://open.spotify.com/show/1iwcjlgreRD0nJxgtdwMLx,TED Tech,TED Tech
https://i.scdn.co/image/ab67656300005f1fff1857f5f766df6f5fa0e643,https://open.spotify.com/show/0aZIlINsnXl0VbDx4eNkNP,Money Crimes with Nicole Lapin,Crime House
https://i.scdn.co/image/ab67656300005f1fbe53d33783a4b148d6c89c65,https://open.spotify.com/show/4UTePv1CR3APdKOiosR3Iq,Empire,Blockworks
https://i.scdn.co/image/ab67656300005f1f89ac196bcbc7ed52120e3035,https://open.spotify.com/show/6hQYpQb9AfbEReRgrqZ4ov,Marketplace Tech,Marketplace
https://i.scdn.co/image/ab67656300005f1fbdc45819a111c892e800641f,https://open.spotify.com/show/2jzD9zn7R2d6erZz2ULLeQ,Risky Business,Patrick Gray
