image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1ff146de8ff940aee956f82e77,https://open.spotify.com/show/3W7s0euoJl6Z6CD4wf45b9,Sound Money Bitcoin Podcast,Daniel Tröster / Loddi
https://i.scdn.co/image/ab67656300005f1f73e99c922eeaa2af1b4b8abe,https://open.spotify.com/show/47g3UVnWAcZlFAOih6fw7f,"Libe Podcast - Finances Personnelles, Bourse, Entreprenariat, Immobilier et Profiter de la vie",Hubert Côté
https://i.scdn.co/image/ab67656300005f1f5cd526ea62f13d5b1b39210d,https://open.spotify.com/show/538vuul1PuorUDwgkC8JWF,The Breakdown,Nathaniel Whittemore
https://i.scdn.co/image/ab67656300005f1fc14a8ce3197726217480f9e8,https://open.spotify.com/show/4zOfAIhQ4knvRA0jkHyo2a,Tucson Bitcoin Podcast,Tucson Bitcoin
https://i.scdn.co/image/ab67656300005f1fef763e177f2a98eabe3eb790,https://open.spotify.com/show/7EsQ9nVditJAi5QYFfdLbh,This Week in Bitcoin,Bitcoin.com Podcast Network
https://i.scdn.co/image/ab67656300005f1fd93615cf57c6d8a9f1433f3b,https://open.spotify.com/show/4UaFaOGMR4biD4qsfCSm7B,Bitcoin Podcast - Kien Tran,Kien Tran
https://i.scdn.co/image/ab67656300005f1f2ba2faa4cee0ab5c1f7d3d3f,https://open.spotify.com/show/3fW8PuRQ4uvdOrI4ZM7yle,Let's Talk Bitcoin!,Let's Talk Bitcoin!
https://i.scdn.co/image/ab67656300005f1f9840d3e6412e52a4183c1bd1,https://open.spotify.com/show/531TDpbdAkisPAkhoGiml7,Rondas BitcoinAr,ONG Bitcoin Argentina
https://i.scdn.co/image/ab67656300005f1f148738e239441b24f6cd20f2,https://open.spotify.com/show/2UdKrcHnVbMyuAySNmgvUI,Hexican | PulseChain | HEX | Crypto | Bitcoin | Ethereum | Richard Heart,Hexican
https://i.scdn.co/image/ab67656300005f1f23d76633b90f718dca9a831c,https://open.spotify.com/show/2H3MKsFvkWczgqrSh38284,The Bitcoin Mentor Podcast,Jake Woodhouse &amp; Gary Mahmoud
https://i.scdn.co/image/ab67656300005f1f1e0c481be7fdc367def0a57e,https://open.spotify.com/show/5kdJEiIPBSM2YdJaDogdct,Bitcoin School,Bitcoin School
https://i.scdn.co/image/ab67656300005f1fe918c2064c6517d19422ed0f,https://open.spotify.com/show/4wNPb4psHZGenR57X4ERHy,The Muslim Bitcoiner Podcast,Muslim Bitcoiner
https://i.scdn.co/image/ab67656300005f1f37201c36696a917d076827f2,https://open.spotify.com/show/1n5z6FpG5bKUFcODrVVmur,Allt om Bitcoin,Allt om Bitcoin
https://i.scdn.co/image/ab67656300005f1f474e65daba6d6567c591ca9d,https://open.spotify.com/show/6vZQPrvk82cSXZwysz65Vl,Dr Bitcoin - The Man Who Wasn't Satoshi Nakamoto,CONTENT:ED Media
https://i.scdn.co/image/ab67656300005f1fd5236738acfe3db6111b4ee3,https://open.spotify.com/show/2E6lh3m4PbPGtV0Df4CRff,deJÖN | DeFi ve Bitcoin,deJÖN | DeFi ve Bitcoin
https://i.scdn.co/image/ab67656300005f1ff0047fa74f2fc8d74521417a,https://open.spotify.com/show/6J3uGh4eBEUqFohOmahfhk,Bitcoin Hard Talk,Simon Dixon
https://i.scdn.co/image/ab67656300005f1f911141d8c5cc225107d72900,https://open.spotify.com/show/6CiuFRGtU5vW3XTTI54TR8,"Krypto Podcast - Bitcoin, NFTs, web3, DeFi und Metaverse - News, Analysen und Interviews zu Bitcoin, Ethereum, NFT Kollektionen und anderen Kryptos",Blue Alpine Research
